اذون اضافة الزيادات تفصيلية 

"التحديد";"م";"العملية";"المدخل";"كود الاذن";"التاريخ";"الوقت";"كود الصنف";"المخزن";"الصنف";"الوحدة";"الكمية";"السعر قبل";"التأثير";"الخصم %";"السعر";"الاجمالى"
"colchkbox";"moslsl";"title";"fuser";"idno_s";"fshortdate";"ftime";"fcodeunit";"fstorfrom";"fname";"funit";"fquntity";"fpr_sd";"fefect";"fpdis";"fpr_s";"gtot"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";"OR-1101";"محل 1";"لقمه مفتاح مفرد سانشي اورجينال";"ك";"1.0000";"0.0000";"-";"0.0000";"13.1500";"13.1500000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"سلك 6 ملي شعر السويدي (H)";"متر ";"9.0000";"0.0000";"-";"0.0000";"38.0000";"342.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"سلك 1.5 ملي معزول سويدي اصلي";"لفه";"1.0000";"0.0000";"-";"0.0000";"1587.2300";"1587.2300000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"سلك 1.5 ملي معزول السمكه";"متر";"24.0000";"0.0000";"-";"0.0000";"10.7800";"258.7200000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"سلك 10 ملي شعر السويدي H";"متر";"6.5000";"0.0000";"-";"0.0000";"85.0000";"552.5000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"لقمه بريزه امريكي ابيض كيون";"ك";"7.0000";"0.0000";"-";"0.0000";"26.8800";"188.1600000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"لقمه كشاف طوارئ كيون";"ك";"1.0000";"0.0000";"-";"0.0000";"255.1400";"255.1400000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"لقمه مفتاح سخان عريض 2 فاز 20 امبير ابيض كيون";"ك";"8.0000";"0.0000";"-";"0.0000";"172.2500";"1378.0000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";"ML21";"محل 1";"لقمه بريزه ريسيفر (دش) فوتينا";"ك";"20.0000";"0.0000";"-";"0.0000";"21.3900";"427.8000000000000"
"True";"";" ";"ابراهيم الضويني ";"22";"09/04/2026 12:00:00 ص";"09/04/2026 11:04:15 ص";;"محل 1";"لقمه بريزه ريسيفر (دش) اسود فوتينا";"ك";"2.0000";"0.0000";"-";"0.0000";"22.6900";"45.3800000000000"
